time,open,high,low,close,Plot,New Moon,First Moon,Waning,Full Moon,Plot,Plot,Chars,Chars,Chars,Chars,Chars,Chars
1718001900,2288.93,2292.97,2287.82,2291.28,2294.615,NaN,NaN,NaN,NaN,2300.4412024073163,2329.191310568197,0,0,0,0,0,0
1718002800,2291.26,2293.24,2290.57,2291.81,2294.615,NaN,NaN,NaN,NaN,2300.102723881539,2328.81935722921,0,0,0,0,0,0
1718003700,2291.82,2296.72,2291.62,2295.56,2294.615,NaN,NaN,NaN,NaN,2299.924577846969,2328.4884183513072,0,0,0,0,0,0
1718004600,2295.54,2295.69,2294.52,2295.04,2294.615,NaN,NaN,NaN,NaN,2299.733025774539,2328.15559826821,0,0,0,0,0,0
1718005500,2295.04,2297.3,2294.48,2296.62,2294.615,NaN,NaN,NaN,NaN,2299.6109463324,2327.841811220765,0,0,0,0,0,0
1718006400,2296.67,2297.59,2295.52,2297.11,2294.615,NaN,NaN,NaN,NaN,2299.5128700056393,2327.5360220543894,0,0,0,0,0,0
1718007300,2297.11,2297.34,2294.71,2295.07,2294.615,NaN,NaN,NaN,NaN,2299.33863980934,2327.2129770588235,0,0,0,0,0,0
1718008200,2295.02,2297.54,2295,2296.02,2293.98,NaN,NaN,NaN,NaN,2299.2084970717187,2326.902599177641,0,0,0,0,0,0
1718009100,2296.01,2296.92,2292.53,2292.7,2293.355,NaN,NaN,NaN,NaN,2298.9532618924354,2326.5622748077144,0,0,0,0,0,0
1718010000,2292.69,2294.46,2291.94,2294.37,2292.8050000000003,NaN,NaN,NaN,NaN,2298.7735261319476,2326.2419536653492,0,0,0,0,0,0
1718010900,2294.38,2296.9,2294.17,2296.34,2292.8050000000003,NaN,NaN,NaN,NaN,2298.678093734616,2325.944421788082,0,0,0,0,0,0
1718011800,2296.37,2297.53,2295.42,2297.21,2292.7,NaN,NaN,NaN,NaN,2298.6205214312977,2325.6585071434242,0,0,0,0,0,0
1718012700,2297.21,2297.44,2294.72,2295.43,2292.7,NaN,NaN,NaN,NaN,2298.495402943796,2325.357725977818,0,0,0,0,0,0
1718013600,2295.43,2297.22,2295.39,2296.89,2292.7,NaN,NaN,NaN,NaN,2298.4324459656077,2325.074465022815,0,0,0,0,0,0
1718014500,2296.9,2297.55,2295.82,2296.36,2292.7,NaN,NaN,NaN,NaN,2298.3511735747998,2324.788748952936,0,0,0,0,0,0
1718015400,2296.35,2297.48,2295.63,2297.36,2292.7,NaN,NaN,NaN,NaN,2298.312304022847,2324.5158260777825,0,0,0,0,0,0
1718016300,2297.37,2298.86,2296.15,2298.61,2293.335,NaN,NaN,NaN,NaN,2298.3239783748922,2324.258056664073,0,0,0,0,0,0
1718017200,2298.61,2300.73,2297.95,2300.6,2294.27,NaN,NaN,NaN,NaN,2298.4132341248965,2324.022653115177,0,0,0,0,0,0
1718018100,2300.59,2301.26,2298.92,2299.17,2294.535,NaN,NaN,NaN,NaN,2298.442911218038,2323.775363034429,0,0,0,0,0,0
